Country,Year,Index,Rank
Afghanistan,2017,3.794,141
Albania,2017,4.644,109
Algeria,2017,5.872,53
Angola,2017,3.795,140
Argentina,2017,6.599,24
Armenia,2017,4.376,121
Australia,2017,7.284,9
Austria,2017,7.006,13
Azerbaijan,2017,5.234,85
Bahrain,2017,6.087,41
Bangladesh,2017,4.608,110
Belarus,2017,5.569,67
Belgium,2017,6.891,17
Belize,2017,5.956,50
Benin,2017,3.657,143
Bhutan,2017,5.011,97
Bolivia,2017,5.823,58
Bosnia and Herzegovina,2017,5.182,90
Botswana,2017,3.766,142
Brazil,2017,6.635,22
Bulgaria,2017,4.714,105
Burkina Faso,2017,4.032,134
Burundi,2017,2.905,154
Cambodia,2017,4.168,129
Cameroon,2017,4.695,107
Canada,2017,7.316,7
Central African Republic,2017,2.693,155
Chad,2017,3.936,137
Chile,2017,6.652,20
China,2017,5.273,79
Colombia,2017,6.357,36
Congo Brazzaville,2017,4.291,124
Congo Kinshasa,2017,4.28,126
Costa Rica,2017,7.079,12
Croatia,2017,5.293,77
Cyprus,2017,5.621,65
Czechia,2017,6.609,23
Denmark,2017,7.522,2
Dominican Republic,2017,5.23,86
Ecuador,2017,6.008,44
Egypt,2017,4.735,104
El Salvador,2017,6.003,45
Estonia,2017,5.611,66
Ethiopia,2017,4.46,119
Finland,2017,7.469,5
France,2017,6.442,31
Gabon,2017,4.465,118
Georgia,2017,4.286,125
Germany,2017,6.951,16
Ghana,2017,4.12,131
Greece,2017,5.227,87
Guatemala,2017,6.454,29
Guinea,2017,3.507,149
Haiti,2017,3.603,145
Honduras,2017,5.181,91
Hong Kong,2017,5.472,71
Hungary,2017,5.324,75
Iceland,2017,7.504,3
India,2017,4.315,122
Indonesia,2017,5.262,81
Iran,2017,4.692,108
Iraq,2017,4.497,117
Ireland,2017,6.977,15
Israel,2017,7.213,11
Italy,2017,5.964,48
Ivory Coast,2017,4.18,128
Jamaica,2017,5.311,76
Japan,2017,5.92,51
Jordan,2017,5.336,74
Kazakhstan,2017,5.819,60
Kenya,2017,4.553,112
Kosovo,2017,5.279,78
Kuwait,2017,6.105,39
Kyrgyzstan,2017,5.004,98
Latvia,2017,5.85,54
Lebanon,2017,5.225,88
Lesotho,2017,3.808,139
Liberia,2017,3.533,148
Libya,2017,5.525,68
Lithuania,2017,5.902,52
Luxembourg,2017,6.863,18
Madagascar,2017,3.644,144
Malawi,2017,3.97,136
Malaysia,2017,6.084,42
Mali,2017,4.19,127
Malta,2017,6.527,27
Mauritania,2017,4.292,123
Mauritius,2017,5.629,64
Mexico,2017,6.578,25
Moldova,2017,5.838,56
Mongolia,2017,4.955,100
Montenegro,2017,5.237,83
Morocco,2017,5.235,84
Mozambique,2017,4.55,113
Myanmar,2017,4.545,114
Namibia,2017,4.574,111
Nepal,2017,4.962,99
Netherlands,2017,7.377,6
New Zealand,2017,7.314,8
Nicaragua,2017,6.071,43
Niger,2017,4.028,135
Nigeria,2017,5.074,95
North Cyprus,2017,5.81,61
North Macedonia,2017,5.175,92
Norway,2017,7.537,1
Pakistan,2017,5.269,80
Palestine,2017,4.775,103
Panama,2017,6.452,30
Paraguay,2017,5.493,70
Peru,2017,5.715,63
Philippines,2017,5.43,72
Poland,2017,5.973,46
Portugal,2017,5.195,89
Qatar,2017,6.375,35
Romania,2017,5.825,57
Russia,2017,5.963,49
Rwanda,2017,3.471,151
Saudi Arabia,2017,6.344,37
Senegal,2017,4.535,115
Serbia,2017,5.395,73
Sierra Leone,2017,4.709,106
Singapore,2017,6.572,26
Slovakia,2017,6.098,40
Slovenia,2017,5.758,62
Somalia,2017,5.151,93
South Africa,2017,4.829,101
South Korea,2017,5.838,55
South Sudan,2017,3.591,147
Spain,2017,6.403,34
Sri Lanka,2017,4.44,120
Sudan,2017,4.139,130
Sweden,2017,7.284,10
Switzerland,2017,7.494,4
Syria,2017,3.462,152
Taiwan,2017,6.422,33
Tajikistan,2017,5.041,96
Tanzania,2017,3.349,153
Thailand,2017,6.424,32
Togo,2017,3.495,150
Trinidad and Tobago,2017,6.168,38
Tunisia,2017,4.805,102
Turkiye,2017,5.5,69
Turkmenistan,2017,5.822,59
Uganda,2017,4.081,133
Ukraine,2017,4.096,132
United Arab Emirates,2017,6.648,21
United Kingdom,2017,6.714,19
United States,2017,6.993,14
Uruguay,2017,6.454,28
Uzbekistan,2017,5.971,47
Venezuela,2017,5.25,82
Vietnam,2017,5.074,94
Yemen,2017,3.593,146
Zambia,2017,4.514,116
Zimbabwe,2017,3.875,138
